STATENAM,YEAR,PJOWAR,PMAIZE,PWHEAT,PSUGAR,PPOTATO,PGNUT,PRICE,PBAJRA,PTUR,PRAGI,PTOBAC,PBARLEY,PGRAM,PSESAMUM,PRMSEED,PCOTTON,POPULS,PSOY,PSUNFLWR,PJUTE
KARNATAKA,1963,43.17894737,34.44736842,64.1947368,70.34210526,35.65,65.67578947,87.78421053,39.34210526,68.07315789,39.34210526,257.7978947,36.22,68.07315789,95.27,87.5,122.3478947,64.87894737,0,0,0
ORISSA,1963,36.76615385,28.79384615,52.4923077,77.04461538,39.45538462,54.40538462,40.78769231,35.29538462,62.749,30.67907692,348.3061538,0,56.73461538,81.57615385,89.91923077,108.8146154,62.749,0,0,83.24
TAMIL_NADU,1963,39.93333333,36.01666667,63.12,67.49666667,44.71,59.05,62.45833333,37.78333333,51.55583333,37.78333333,279.905,36.22,51.55583333,101.335,72.17,118.0316667,48.28581317,0,0,0
HARYANA,1963,45.08666667,42.2,53.8083333,94.33666667,43.5645,59.56333333,57.42,46.69166667,50.57666667,46.69166667,211.0083333,42.93333333,50.57666667,101.61,97.66416667,115.8283333,50.57666667,0,0,0
MAHARASHTRA,1963,44.036,41.084,69.256,90.46,49.69,67.62,57.024,46.036,53.78,46.036,261.504,60.568,53.78,96.18,72.17,122.376,82.988,0,0,0
GUJARAT,1963,43.96111111,39.67777778,65.1277778,103.5222222,35.23,64.18333333,46.32222222,50.44444444,53.56111111,50.44444444,126.2833333,37,53.56111111,95.14444444,93.56666667,122.5833333,71.95,0,0,0
BIHAR,1963,0,32.89647059,55.8135294,79.54941176,35.18,51.85,37.13647059,0,64.46235294,28.14470588,341.6134706,40.51882353,56.51941176,75.69588235,94.48294118,0,64.46235294,0,0,42.20352941
ANDHRA_PRADESH,1964,54.94736842,46.35789474,92.8,62.09,57.42,78.60052632,72.39473684,53.67894737,98.42631579,53.67894737,248.2431579,42.11,98.42631579,117.1910526,99.47,110.6884211,68.27089568,0,0,0
MAHARASHTRA,1964,48.948,60.864,98.92,84.796,68.57,89.476,68.56,72.2,103.852,72.2,291,60.02,103.852,130.992,99.47,154.096,102.9,0,0,0
ORISSA,1964,47.47769231,41.24384615,66.4815385,76.67923077,41.30538462,77.50076923,48.04384615,49.38769231,77.047,50.00815385,391.6353846,0,68.16230769,114.5984615,109.6830769,117.1169231,77.047,0,0,124.76
GUJARAT,1964,60.97777778,55.16666667,78.9111111,64.35,48.74,73.23333333,92.82222222,64.21666667,92.91111111,64.21666667,152.0444444,48.84444444,92.91111111,130.4666667,107.6611111,113.6055556,91.81111111,0,0,0
PUNJAB,1964,59.578,50.892,53.516,88.633,52.623,70.1733,44.574,55.062,53.942,55.062,269.8741,49.145,53.942,122.6364,116.8561,98.961,53.942,0,0,0
HARYANA,1964,54.79666667,50.83166667,54.9583333,73.05333333,46.693,69.68166667,61.98166667,50.07833333,51.275,50.07833333,219.105,49.84666667,51.275,126.55,106.9066667,122.7666667,51.275,0,0,0
WEST_BENGAL,1964,0,56.601414,58.3593333,72.52933333,42.18133333,0,75.17333333,0,0,0,478.00452,54.70066667,71.15866667,0,123.784,0,0,0,0,95.69866667
BIHAR,1964,0,56.34529412,79.2364706,72.3,51.03176471,93.50241176,39.95117647,0,77.68235294,47.55982353,454.8752353,59.39752941,85.28058824,137.9570588,120.4452941,0,77.68235294,0,0,58.31294118
UTTAR_PRADESH,1964,49.02625,54.74416667,72.8639583,68.72770833,29.71645833,63.966875,38.13875,51.655,59.053125,51.655,93.58,51.861875,59.053125,112.9497917,95.41479167,102.19,59.053125,0,0,65.38770833
KARNATAKA,1964,64.53157895,60.70526316,67.6473684,57.86315789,64.22,83.31684211,114.5526316,66.30526316,104.4626316,66.30526316,275.6973684,42.11,104.4626316,126.6,99.47,123.46,78.30368421,0,0,0
TAMIL_NADU,1964,50.325,36.46666667,65.69,61.67333333,61.13,73.8075,65.30833333,47.20833333,57.83083333,47.20833333,223.0766667,42.11,57.83083333,115.4391667,99.47,124.41,61.51352392,0,0,0
RAJASTHAN,1964,50.63461538,46.43653846,63.8346154,85.44769231,57.42,84.67038462,113.75,52.56961538,64.92538462,52.56961538,309.4553846,53.56307692,64.92538462,141.9846154,128.6976923,193.7119231,53.72307692,0,0,0
