STATENAM,YEAR,QWHEAT,QRICE,QMAIZE,QJOWAR,QBAJRA,QSUGAR,QPOTATO,QGNUT,QBARLEY,QTOBAC,QGRAM,QTUR,QRAGI,QSESAMUM,QRMSEED,QCOTTON,QOPULS,QSOY,QSUNFLWR,QJUTE
WEST_BENGAL,1966,45.5599696,4819.38844,40.894,0,0,129.8544,641.8402573,0,35.8058237,13.775,146.4391208,0,0,0,44.0614434,0,0,0,0,517.56552
MADHYA_PRADESH,1967,1880.1,3187.5,670.7,2070.7,149.2,96.03,337.668,327.8,138.631,1.63,827.1,417.363,0,48.1,0,56.73,479.2,0,0,0
RAJASTHAN,1967,1319,95,1026,428,1423,31.7,0,164,765,4.3,1049,7.411,0,83,66,40.7,9,0,0,0
BIHAR,1967,913.289,4546.911,1129.752,0,0,403.102,784.565,4.856,233.549,15.034,204.482,157.173,175.752,15.481,54.048,0,0,0,0,149.86404
MAHARASHTRA,1967,351.6,1409.8,31.2,3227.5,553.6,1130.7,0,642.8,146.9,5,94.8,436.3,0,37.8,0,237.7,304,0,0,0
TAMIL_NADU,1967,0,3845.8,10.6,524.7,287.4,868.9,0,898.28,0,21.02,1.76,77.932,0,34.2,0,53.86,112.47,0,0,0
ORISSA,1967,15.336,3755.462,54.978,7.225,1.548,180.927,372.137,83.348,0,9.976,11.542,20.7,119.304,41.56,24.375,0.634,0,0,0,64.6569
WEST_BENGAL,1967,70.7239283,4865.770138,43.102,0,0,117.8767,642.4900881,0,33.9038403,10.065,96.3076121,0,0,0,35.402904,0,0,0,0,693.66762
HARYANA,1967,1380,285,155,47.15,407.11,458,76,28.5,280,1.297,1161,27.958,0,0.718,100,64.116,32.46,0,0,0
GUJARAT,1967,687.3,463.2,317,423.5,1237.2,156.6,0,1409.7,54.5,100.4,41,206.865,0,36.8,18.8,272.8,47.7,0,0,0
KARNATAKA,1967,104.6,1252.4,46.6,1322,165.5,865.6,0,586.7,0,15.54,65.22,181.318,0,0,0,50.42,105.34,0,0,0
UTTAR_PRADESH,1967,5502.45,2970.837,1110.368,462.528,446.577,3727.3322,1389.039,302.83,1709.62,0,1624.831,762.109,0,15.5622487,102.6817511,0,1000.752,0,0,23.8725
ANDHRA_PRADESH,1967,2.7,4009.4,256.5,1192.1,290.1,784.02,0,1028.27,0,158.96,20.17,67.234,0,39.23,0,28.26,252.86,0,0,0
PUNJAB,1967,3358,409,739,4.28,208,448,161.509,228.6,147,0.357,453,34.733,0,4.879,66.23,140.328,25.18,0,0,0
HARYANA,1968,1509.119,268,98,21.531,205.108,610,78.3,19.354,185.7,1.041,490,27.958,0,0.565,32.6,58.63302,16.76,0,0,0
KARNATAKA,1968,157.3,2029,104.1,1651.7,153.3,956.86,0,634.76,0,16.77,73.49,181.318,0,0,0,59.44,131.58,0,0,0
ANDHRA_PRADESH,1968,3,2881.6,245.6,1265.4,244.8,992.89,0,877.12,0,167.16,19.59,67.234,0,34.17,0,17.25,252.65,0,0,0
WEST_BENGAL,1968,127.3627,5461.47964,38.817,0,0,147.5312,858.217,0,48.17,10.812,126.967,0,0,0,60.2596,0,0,0,0,239.364
